ROM loaded successfully!
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0xee
Current opcode: 0x3f01
Current opcode: 0xee
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0x2296
Current opcode: 0xd014
Current opcode: 0x7301
Current opcode: 0x4304
Current opcode: 0x225c
Current opcode: 0xa2c4
Current opcode: 0xf41e
Current opcode: 0x6600
Current opcode: 0x4301
Current opcode: 0x4302
Current opcode: 0x6608
Current opcode: 0x4303
Current opcode: 0xf61e
Current opcode: 0xee
Current opcode: 0x2334
Current opcode: 0xd014
Current opcode: 0x6635
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0xee
Current opcode: 0x3f01
Current opcode: 0xee
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0x2272
Current opcode: 0xd014
Current opcode: 0x70ff
Current opcode: 0x2334
Current opcode: 0xd014
Current opcode: 0x6635
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0xee
Current opcode: 0x3f01
Current opcode: 0xee
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0x2272
Current opcode: 0xd014
Current opcode: 0x70ff
Current opcode: 0x2334
Current opcode: 0xd014
Current opcode: 0x6635
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0x1338
Current opcode: 0x76ff
Current opcode: 0x3600
Current opcode: 0xee
Current opcode: 0x3f01
Current opcode: 0xee
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x6600
Current opcode: 0xf615
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x6600
Current opcode: 0xf615
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x6600
Current opcode: 0xf615
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x6600
Current opcode: 0xf615
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x6600
Current opcode: 0xf615
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x6600
Current opcode: 0xf615
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x6600
Current opcode: 0xf615
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x6600
Current opcode: 0xf615
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x6600
Current opcode: 0xf615
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x6600
Current opcode: 0xf615
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x6600
Current opcode: 0xf615
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x6600
Current opcode: 0xf615
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0x123c
Current opcode: 0xe7a1
Current opcode: 0xe8a1
Current opcode: 0xe9a1
Current opcode: 0xe29e
Current opcode: 0x1250
Current opcode: 0xf607
Current opcode: 0x3600
Current opcode: 0xd014
Current opcode: 0x7101
Current opcode: 0x122a
Current opcode: 0xf515
Current opcode: 0xd014
Current opcode: 0x3f01
Current opcode: 0xd014
Current opcode: 0x71ff
Current opcode: 0xd014
Current opcode: 0x2340
Current opcode: 0xa2b4
Current opcode: 0x8c10
Current opcode: 0x3c1e
Current opcode: 0x7c01
Current opcode: 0x3c1e
Current opcode: 0x7c01
Current opcode: 0x3c1e
Current opcode: 0x7c01
Current opcode: 0x235e
Current opcode: 0x601b
Current opcode: 0x6b00
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0x7b01
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0xee
Current opcode: 0x4b0a
Current opcode: 0x91c0
Current opcode: 0x7101
Current opcode: 0x1350
Current opcode: 0x235e
Current opcode: 0x601b
Current opcode: 0x6b00
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0x7b01
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0x7b01
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0x7b01
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0xee
Current opcode: 0x4b0a
Current opcode: 0x91c0
Current opcode: 0x7101
Current opcode: 0x1350
Current opcode: 0x235e
Current opcode: 0x601b
Current opcode: 0x6b00
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0x7b01
Current opcode: 0xd011
Current opcode: 0x7001
Current opcode: 0x3025
Current opcode: 0x1362
Current opcode: 0xd011
Current opcode: 0x3f00
Current opcode: 0x7b01
Current opcode: 0xd011
Current opcode: 0x7001
